@RELATION svm_clf
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE class {links,rechts}

@DATA
0.109646,0.006654,1.540399,0.218344,0.169319,1.083569,0.003132,0.216166,0.002946,0.003909,0.010058,0.005094,0.006674,0.005792,0.013987,0.003593,0.003442,0.005234,0.005100,0.002310,0.005683,0.019072,0.008713,0.967294,0.036090,0.036993,0.364250,0.001605,0.056756,0.002532,0.002765,0.014306,0.005911,0.008988,0.007920,0.019401,0.005812,0.005244,0.008099,0.005989,0.001972,0.006084,links
0.116146,0.006304,1.567639,0.219188,0.163694,1.095053,0.002782,0.221887,0.002761,0.003624,0.008655,0.004342,0.005676,0.004146,0.011753,0.002699,0.002961,0.004107,0.004821,0.002445,0.004779,0.019573,0.008437,0.969768,0.032160,0.035669,0.376654,0.001303,0.053713,0.002855,0.003013,0.010621,0.005032,0.007807,0.005558,0.018974,0.004328,0.004248,0.005559,0.006064,0.002249,0.005540,links
0.156504,0.007628,1.694885,0.228988,0.160686,1.318419,0.002369,0.249274,0.002252,0.003253,0.006400,0.003498,0.003632,0.002915,0.006290,0.002315,0.002270,0.002726,0.003105,0.002456,0.003065,0.023512,0.010974,1.042441,0.029811,0.029685,0.426706,0.001020,0.052136,0.001967,0.002095,0.006192,0.002812,0.004442,0.003861,0.009863,0.003343,0.003147,0.003585,0.003216,0.002223,0.002710,links
0.129369,0.007401,1.604392,0.221482,0.168016,1.151111,0.002893,0.226661,0.002882,0.003457,0.008866,0.004607,0.005440,0.004872,0.013173,0.002708,0.002830,0.003807,0.005412,0.002489,0.005141,0.029621,0.010269,0.957809,0.035210,0.034463,0.361244,0.001279,0.055059,0.002853,0.002633,0.010297,0.005017,0.006715,0.006257,0.022882,0.004289,0.003829,0.005138,0.007430,0.002292,0.006149,links
0.110808,0.006600,1.524435,0.221049,0.164507,1.103491,0.003138,0.226180,0.002642,0.003630,0.009652,0.004938,0.006274,0.004308,0.011019,0.002820,0.002718,0.003481,0.004410,0.002538,0.004995,0.022539,0.009349,0.967662,0.039881,0.036194,0.366230,0.001908,0.066348,0.002585,0.002881,0.014395,0.005616,0.009539,0.005439,0.017608,0.005398,0.004155,0.005372,0.006463,0.002439,0.006200,links
0.113369,0.007117,1.434003,0.222611,0.164697,1.129625,0.002980,0.228462,0.002752,0.003572,0.008789,0.004983,0.004922,0.003805,0.009886,0.002586,0.002361,0.002959,0.003731,0.002240,0.004513,0.021168,0.009724,0.967515,0.036309,0.033796,0.386378,0.001720,0.060709,0.002611,0.002579,0.011488,0.005967,0.006859,0.005525,0.018748,0.004650,0.003491,0.004514,0.004902,0.001937,0.005532,links
0.110948,0.006334,1.542641,0.216608,0.165517,1.127663,0.002911,0.223299,0.003060,0.003561,0.011007,0.005037,0.005875,0.004653,0.012687,0.002471,0.002844,0.003145,0.004425,0.002308,0.005270,0.021725,0.009314,0.961544,0.035276,0.035665,0.341529,0.001382,0.050699,0.003292,0.002591,0.015824,0.006042,0.007519,0.006181,0.021154,0.003451,0.003903,0.003652,0.005210,0.001959,0.006650,links
0.109598,0.006785,1.646273,0.219962,0.167748,1.115673,0.003084,0.221760,0.002917,0.003916,0.010838,0.005013,0.006295,0.004705,0.012159,0.002299,0.002578,0.003981,0.004398,0.002725,0.005257,0.023345,0.009757,0.996529,0.035175,0.039052,0.358531,0.001798,0.057122,0.002768,0.003057,0.013390,0.005321,0.008228,0.006734,0.020208,0.003737,0.003553,0.005853,0.006255,0.002758,0.006087,links
0.113172,0.006903,1.455814,0.221615,0.164090,1.085581,0.002949,0.220917,0.002677,0.003926,0.008929,0.004137,0.005251,0.004813,0.011985,0.002652,0.002736,0.003499,0.003723,0.002368,0.004983,0.022546,0.010005,0.955502,0.036664,0.038431,0.373735,0.001522,0.058491,0.002571,0.002723,0.011591,0.004537,0.007031,0.007383,0.019753,0.004761,0.004934,0.004905,0.004416,0.002143,0.005668,links
0.113618,0.007108,1.619498,0.219657,0.165429,1.141093,0.003064,0.226701,0.003055,0.003522,0.009738,0.004884,0.008240,0.005121,0.012225,0.002614,0.002600,0.003491,0.004198,0.002421,0.005272,0.021320,0.009738,0.966620,0.037559,0.034898,0.370175,0.001416,0.055450,0.003361,0.002573,0.012094,0.006404,0.011841,0.007342,0.018434,0.004046,0.003409,0.004627,0.004931,0.002411,0.005901,links
0.137532,0.006599,1.516845,0.227297,0.164340,1.201932,0.002767,0.240118,0.003142,0.003565,0.009593,0.003917,0.004903,0.005195,0.010978,0.002559,0.002480,0.003743,0.003631,0.002152,0.004885,0.032698,0.008617,0.980865,0.031611,0.033112,0.446786,0.001481,0.070103,0.003437,0.002575,0.014551,0.004040,0.006708,0.007342,0.018641,0.004457,0.003474,0.005236,0.004401,0.001986,0.006394,links
0.132942,0.006892,1.549420,0.224005,0.163730,1.192506,0.002675,0.233430,0.003021,0.003191,0.009316,0.004410,0.005039,0.004459,0.010820,0.002277,0.002977,0.004114,0.004123,0.002193,0.004615,0.025331,0.009658,0.998727,0.033686,0.033151,0.374887,0.001317,0.052232,0.003438,0.002204,0.010635,0.005078,0.006380,0.006020,0.017319,0.003930,0.004177,0.006539,0.005143,0.001678,0.005052,links
0.125987,0.005589,1.750074,0.213149,0.162871,1.095574,0.003108,0.218485,0.003268,0.004036,0.010657,0.004671,0.006642,0.005920,0.012666,0.003904,0.003862,0.004641,0.005000,0.002948,0.005439,0.034262,0.008342,0.985631,0.033901,0.030807,0.374889,0.001499,0.060711,0.003020,0.003179,0.012882,0.004664,0.008562,0.007754,0.018206,0.006950,0.005174,0.006068,0.005932,0.003750,0.005571,links
0.108119,0.006218,1.570180,0.217072,0.164769,1.068043,0.003117,0.216484,0.003581,0.004441,0.010301,0.005174,0.005964,0.005345,0.013560,0.002999,0.003404,0.003701,0.004666,0.003215,0.005606,0.021873,0.008726,1.020326,0.036099,0.034794,0.354011,0.001743,0.057580,0.004570,0.004787,0.015691,0.005853,0.007637,0.007192,0.020877,0.004966,0.004769,0.004452,0.006190,0.004282,0.007059,links
0.109299,0.007825,1.385243,0.221662,0.166077,1.119800,0.003206,0.226842,0.003347,0.003818,0.011910,0.004849,0.006315,0.004377,0.012253,0.002236,0.003922,0.003840,0.004697,0.002602,0.005573,0.022444,0.010317,1.008560,0.040190,0.034896,0.373165,0.001841,0.067350,0.003571,0.002749,0.016558,0.006383,0.010606,0.006498,0.020111,0.003921,0.005543,0.005502,0.006211,0.002182,0.007076,links
0.107178,0.007314,1.533225,0.220294,0.164652,1.059901,0.003103,0.218984,0.003367,0.003911,0.008877,0.004343,0.005004,0.005034,0.010687,0.002623,0.003374,0.003976,0.004924,0.002099,0.004671,0.024626,0.010030,0.909064,0.039004,0.035501,0.374040,0.001794,0.066731,0.003752,0.002629,0.009905,0.005187,0.006204,0.007568,0.016554,0.004404,0.006242,0.006162,0.006454,0.001720,0.004976,links
0.112461,0.005838,1.663231,0.215760,0.161390,1.102428,0.003039,0.220113,0.003165,0.003821,0.010903,0.004350,0.005688,0.004956,0.010324,0.002372,0.002699,0.004089,0.003814,0.002623,0.005033,0.025310,0.008557,0.948630,0.034964,0.031874,0.389605,0.001473,0.063540,0.003179,0.002961,0.015246,0.004605,0.008119,0.006769,0.016127,0.003728,0.004284,0.006081,0.004267,0.002676,0.006053,links
0.109376,0.006782,1.601166,0.216202,0.160684,1.091063,0.003157,0.220154,0.003131,0.003673,0.011486,0.004094,0.006477,0.004368,0.016179,0.002212,0.002225,0.003924,0.004459,0.002614,0.006245,0.026227,0.009586,0.972383,0.036732,0.032505,0.356956,0.001853,0.057530,0.003495,0.003024,0.015696,0.004682,0.009613,0.006454,0.029506,0.003653,0.003094,0.005471,0.006677,0.002524,0.008861,links
0.103634,0.006127,1.465759,0.217824,0.164261,1.096490,0.003257,0.222627,0.003450,0.004119,0.008980,0.004673,0.005555,0.006217,0.011134,0.002955,0.003435,0.004368,0.004614,0.003369,0.004890,0.021512,0.008607,0.989896,0.038217,0.035752,0.393145,0.001821,0.065363,0.003874,0.003415,0.009326,0.005322,0.007180,0.008945,0.016339,0.004883,0.005715,0.006462,0.006072,0.004708,0.004986,links
